ID,c_length,n,name_biome,code_biome,year,geometry
14134,34,30,Amazônia,1,2019,"list(list(c(-67.6053831406142, -67.6053831406142, -67.6553831406142, -67.7053831406142, -67.7053831406142, -67.6553831406142, -67.6053831406142, -10.4579517788559, -10.4002167519369, -10.3713492384774, -10.4002167519369, -10.4579517788559, -10.4868192923153, -10.4579517788559)))"
15155,12,24,Amazônia,1,2019,"list(list(c(-67.2053831406142, -67.2053831406142, -67.2553831406142, -67.3053831406142, -67.3053831406142, -67.2553831406142, -67.2053831406142, -9.59192637507141, -9.53419134815245, -9.50532383469297, -9.53419134815245, -9.59192637507141, -9.6207938885309, -9.59192637507141)))"
15281,13,63,Amazônia,1,2019,"list(list(c(-67.1553831406142, -67.1553831406142, -67.2053831406142, -67.2553831406142, -67.2553831406142, -67.2053831406142, -67.1553831406142, -9.67852891544986, -9.62079388853089, -9.59192637507141, -9.6207938885309, -9.67852891544986, -9.70739642890934, -9.67852891544986)))"
15409,12,53,Amazônia,1,2019,"list(list(c(-67.1053831406142, -67.1053831406142, -67.1553831406142, -67.2053831406142, -67.2053831406142, -67.1553831406142, -67.1053831406142, -9.59192637507141, -9.53419134815245, -9.50532383469297, -9.53419134815245, -9.59192637507141, -9.62079388853089, -9.59192637507141)))"
16043,16,29,Amazônia,1,2019,"list(list(c(-66.8553831406142, -66.8553831406142, -66.9053831406142, -66.9553831406142, -66.9553831406142, -66.9053831406142, -66.8553831406142, -9.67852891544986, -9.62079388853089, -9.59192637507141, -9.62079388853089, -9.67852891544986, -9.70739642890934, -9.67852891544986)))"
16424,31,24,Amazônia,1,2019,"list(list(c(-66.7053831406142, -66.7053831406142, -66.7553831406142, -66.8053831406142, -66.8053831406142, -66.7553831406142, -66.7053831406142, -9.7651314558283, -9.70739642890934, -9.67852891544986, -9.70739642890934, -9.7651314558283, -9.79399896928778, -9.7651314558283)))"
18837,14,77,Amazônia,1,2019,"list(list(c(-65.7553831406142, -65.7553831406142, -65.8053831406142, -65.8553831406142, -65.8553831406142, -65.8053831406142, -65.7553831406142, -9.67852891544986, -9.62079388853089, -9.59192637507141, -9.62079388853089, -9.67852891544986, -9.70739642890934, -9.67852891544986)))"
18965,14,45,Amazônia,1,2019,"list(list(c(-65.7053831406142, -65.7053831406142, -65.7553831406142, -65.8053831406142, -65.8053831406142, -65.7553831406142, -65.7053831406142, -9.59192637507141, -9.53419134815245, -9.50532383469297, -9.53419134815245, -9.59192637507141, -9.62079388853089, -9.59192637507141)))"
19218,18,100,Amazônia,1,2019,"list(list(c(-65.6529420927235, -65.6053831406142, -65.6053831406142, -65.6553831406142, -65.7053831406142, -65.7053831406142, -65.704969525, -65.6945873069999, -65.6873494189999, -65.684501725, -65.6862222059999, -65.6836118199999, -65.6792809529999, -65.678094412, -65.681298069, -65.687824034, -65.7041982739999, -65.7053831406142, -65.7053831406142, -65.6733349539217, -65.6722210439999, -65.668958061, -65.664567867, -65.6624197701866, -65.6569991353621, -65.6529420927235, -9.79258991573982, -9.7651314558283, 
-9.70739642890934, -9.67852891544986, -9.70739642890934, -9.75678633892391, -9.75680639299997, -9.74879725299996, -9.75033975399996, -9.74962782999994, -9.76178985699992, -9.76250178099994, -9.76012870199999, -9.76078129899996, -9.76736658999994, -9.76962101599994, -9.76392562799998, -9.76472202144279, -9.7651314558283, -9.78363590253086, -9.78243563899994, -9.78113044599993, -9.78469006299994, -9.78993711430209, -9.79306616698013, -9.79258991573982)))"
19221,0,28,Amazônia,1,2019,"list(list(c(-65.6053831406142, -65.6053831406142, -65.6553831406142, -65.7053831406142, -65.7053831406142, -65.6553831406142, -65.6053831406142, -9.24551621355764, -9.18778118663867, -9.15891367317919, -9.18778118663867, -9.24551621355764, -9.27438372701712, -9.24551621355764)))"
19344,14,39,Amazônia,1,2019,"list(list(c(-65.5553831406142, -65.5553831406142, -65.6053831406142, -65.6529420927235, -65.647303721, -65.643922085, -65.6447526619999, -65.653592379, -65.651990551, -65.64908353, -65.6469477599999, -65.6378707349999, -65.63502304, -65.633356122, -65.6316208209999, -65.628094243, -65.625799167, -65.607158681, -65.599657704, -65.597250673, -65.598929997, -65.597698494, -65.595067554, -65.568814135, -65.5615930439999, -65.5589061269999, -65.5553831406142, -65.5553831406142, -65.5635522539999, -65.5655114659999, 
-65.5578425559999, -65.5553831406142, -9.80683989482605, -9.79399896928778, -9.7651314558283, -9.79258991573982, -9.791927952, -9.79364843399997, -9.79803862899996, -9.80717498099998, -9.8134043119999, -9.81749787199994, -9.81672662099989, -9.80533584499996, -9.80551382600003, -9.80932689599995, -9.83059832299994, -9.83742757099993, -9.83787538999997, -9.82550437599999, -9.82483264699993, -9.82796738199993, -9.83882700699999, -9.84235358499993, -9.84302531499999, -9.83742757099993, -9.84453670499992, 
-9.84543234399993, -9.8429532157232, -9.82979897087201, -9.82097020299991, -9.810670354, -9.81072633199993, -9.80683989482605)))"
19475,0,88,Amazônia,1,2019,"list(list(c(-65.5053831406142, -65.5053831406142, -65.5553831406142, -65.6053831406142, -65.6053831406142, -65.5553831406142, -65.5053831406142, -9.24551621355764, -9.18778118663867, -9.15891367317919, -9.18778118663867, -9.24551621355764, -9.27438372701712, -9.24551621355764)))"
19602,0,54,Amazônia,1,2019,"list(list(c(-65.4553831406142, -65.4553831406142, -65.5053831406142, -65.5553831406142, -65.5553831406142, -65.5053831406142, -65.4553831406142, -9.15891367317919, -9.10117864626023, -9.07231113280075, -9.10117864626023, -9.15891367317919, -9.18778118663867, -9.15891367317919)))"
19729,0,123,Amazônia,1,2019,"list(list(c(-65.4053831406142, -65.4053831406142, -65.4553831406142, -65.5053831406142, -65.5053831406142, -65.4553831406142, -65.4053831406142, -9.24551621355764, -9.18778118663867, -9.15891367317919, -9.18778118663867, -9.24551621355764, -9.27438372701712, -9.24551621355764)))"
19855,2,51,Amazônia,1,2019,"list(list(c(-65.3553831406142, -65.3553831406142, -65.4053831406142, -65.4553831406142, -65.4553831406142, -65.4053831406142, -65.3553831406142, -9.33211875393608, -9.27438372701712, -9.24551621355764, -9.27438372701712, -9.33211875393608, -9.36098626739556, -9.33211875393608)))"
19856,0,28,Amazônia,1,2019,"list(list(c(-65.3553831406142, -65.3553831406142, -65.4053831406142, -65.4553831406142, -65.4553831406142, -65.4053831406142, -65.3553831406142, -9.15891367317919, -9.10117864626023, -9.07231113280075, -9.10117864626023, -9.15891367317919, -9.18778118663867, -9.15891367317919)))"
19983,0,30,Amazônia,1,2019,"list(list(c(-65.3053831406142, -65.3053831406142, -65.3553831406142, -65.4053831406142, -65.4053831406142, -65.3553831406142, -65.3053831406142, -9.24551621355764, -9.18778118663867, -9.15891367317919, -9.18778118663867, -9.24551621355764, -9.27438372701712, -9.24551621355764)))"
20105,18,29,Amazônia,1,2019,"list(list(c(-65.3295486579099, -65.3053831406142, -65.2553831406142, -65.2553831406142, -65.3053831406142, -65.3306591454713, -65.3299024129999, -65.328675415, -65.3225238579999, -65.3204658259999, -65.3220124749999, -65.3295486579099, -10.0398562007249, -10.0538065904231, -10.0249390769636, -9.96720405004467, -9.93833653658519, -9.95293121115208, -9.96527396399996, -9.96843404799995, -9.97485034499998, -9.99207231599993, -10.0063490809999, -10.0398562007249)))"
