agri_code,class_code,count
41,15,7491622
39,41,1211660
41,30,5023
39,3,24046
39,11,94
41,25,28
41,3,486527
41,11,23703
39,33,409
20,41,15301
20,39,1917
20,9,164
41,9,57727
20,15,33217
39,12,272
20,11,186
41,23,51
48,4,35
39,62,305
41,4,4586
41,33,56575
39,39,7072528
48,41,14578
41,24,25854
48,24,60
39,4,156
41,21,42
39,15,580879
48,15,739295
41,20,58185
39,20,3286
20,20,118961
20,12,193
39,24,936
41,62,3028
48,3,423145
48,39,6736
39,48,209
41,48,14479
48,11,141
20,3,2163
39,30,491
48,12,327
48,30,1621
41,41,13511923
41,12,6308
41,39,27882470
48,48,1590739
41,32,321
20,4,46
41,5,438
48,9,1008
39,9,4212
62,39,26
48,33,21
39,21,15
20,33,4
62,41,2
39,25,2
